education_record_id,resident_id,record_date,education_level,school_name,enrollment_status,attendance_rate,progress_percent,completion_status,notes
290,33,2025-03-01,Primary,School 17,Enrolled,0.734,61.5,InProgress,Progress: InProgress
291,33,2025-04-01,Secondary,School 4,Enrolled,0.776,66.3,InProgress,Progress: InProgress
292,33,2025-05-01,CollegePrep,School 12,Enrolled,0.766,71.5,InProgress,Progress: InProgress
293,33,2025-06-01,Vocational,School 3,Enrolled,0.644,90.0,InProgress,Progress: InProgress
294,33,2025-07-01,Secondary,School 1,Enrolled,0.824,100.0,InProgress,Progress: InProgress
295,34,2023-07-01,Vocational,School 10,Enrolled,0.746,51.8,NotStarted,Progress: NotStarted
296,34,2023-08-01,Secondary,School 3,Enrolled,0.642,63.1,InProgress,Progress: InProgress
297,34,2023-09-01,Secondary,School 8,Enrolled,0.786,85.6,InProgress,Progress: InProgress
298,34,2023-10-01,Primary,School 3,Enrolled,0.908,100.0,InProgress,Progress: InProgress
299,34,2023-11-01,Vocational,School 13,Enrolled,0.664,100.0,InProgress,Progress: InProgress
300,34,2023-12-01,Primary,School 6,Enrolled,0.703,100.0,InProgress,Progress: InProgress
301,34,2024-01-01,Primary,School 6,Enrolled,0.962,100.0,InProgress,Progress: InProgress
302,34,2024-02-01,Vocational,School 13,Enrolled,0.736,100.0,InProgress,Progress: InProgress
303,34,2024-03-01,Primary,School 8,Enrolled,0.755,100.0,InProgress,Progress: InProgress
304,34,2024-04-01,Primary,School 4,Enrolled,0.758,100.0,Completed,Progress: Completed
305,34,2024-05-01,Secondary,School 9,Enrolled,0.919,100.0,InProgress,Progress: InProgress
306,35,2024-08-01,Primary,School 4,Enrolled,0.813,55.6,NotStarted,Progress: NotStarted
307,35,2024-09-01,Primary,School 6,Enrolled,0.726,80.5,InProgress,Progress: InProgress
308,35,2024-10-01,CollegePrep,School 3,Enrolled,0.753,96.3,InProgress,Progress: InProgress
309,35,2024-11-01,Secondary,School 10,Enrolled,0.883,100.0,InProgress,Progress: InProgress
310,35,2024-12-01,Secondary,School 12,Enrolled,0.842,100.0,InProgress,Progress: InProgress
311,35,2025-01-01,Secondary,School 1,Enrolled,0.981,100.0,InProgress,Progress: InProgress
312,35,2025-02-01,Secondary,School 13,Enrolled,0.964,100.0,InProgress,Progress: InProgress
313,35,2025-03-01,Primary,School 14,Enrolled,0.735,100.0,InProgress,Progress: InProgress
314,35,2025-04-01,CollegePrep,School 1,Enrolled,0.759,100.0,Completed,Progress: Completed
315,35,2025-05-01,Secondary,School 15,Enrolled,0.663,100.0,InProgress,Progress: InProgress
316,36,2023-03-01,Secondary,School 4,Enrolled,0.575,56.3,NotStarted,Progress: NotStarted
317,36,2023-04-01,Primary,School 16,Enrolled,0.874,62.4,InProgress,Progress: InProgress
318,36,2023-05-01,Primary,School 5,Enrolled,0.584,64.5,InProgress,Progress: InProgress
319,36,2023-06-01,CollegePrep,School 19,Enrolled,0.69,90.2,InProgress,Progress: InProgress
320,36,2023-07-01,Primary,School 15,Enrolled,0.784,97.0,InProgress,Progress: InProgress
321,36,2023-08-01,Primary,School 17,Enrolled,0.737,100.0,Completed,Progress: Completed
322,37,2024-01-01,Primary,School 5,Enrolled,0.666,43.8,NotStarted,Progress: NotStarted
323,37,2024-02-01,Vocational,School 11,Enrolled,0.411,47.6,InProgress,Progress: InProgress
324,37,2024-03-01,Primary,School 2,Enrolled,0.562,52.2,InProgress,Progress: InProgress
325,37,2024-04-01,Primary,School 13,Enrolled,0.842,55.4,InProgress,Progress: InProgress
326,37,2024-05-01,Secondary,School 6,Enrolled,0.599,64.4,InProgress,Progress: InProgress
327,37,2024-06-01,Vocational,School 12,Enrolled,0.829,73.8,InProgress,Progress: InProgress
328,37,2024-07-01,Secondary,School 12,Enrolled,0.673,80.0,InProgress,Progress: InProgress
329,37,2024-08-01,CollegePrep,School 20,Enrolled,0.721,77.1,InProgress,Progress: InProgress
330,37,2024-09-01,Secondary,School 10,Enrolled,0.807,75.2,InProgress,Progress: InProgress
331,37,2024-10-01,Secondary,School 10,Enrolled,0.757,70.4,InProgress,Progress: InProgress
332,37,2024-11-01,Primary,School 7,Enrolled,0.667,89.1,InProgress,Progress: InProgress
333,37,2024-12-01,Vocational,School 2,Enrolled,0.776,100.0,Completed,Progress: Completed
334,38,2024-04-01,Primary,School 2,Enrolled,0.585,44.4,NotStarted,Progress: NotStarted
335,38,2024-05-01,Vocational,School 4,Enrolled,0.631,47.3,InProgress,Progress: InProgress
336,38,2024-06-01,Secondary,School 18,Enrolled,0.612,59.4,InProgress,Progress: InProgress
337,38,2024-07-01,Secondary,School 20,Enrolled,0.956,79.5,InProgress,Progress: InProgress
338,38,2024-08-01,Primary,School 8,Enrolled,0.703,90.8,InProgress,Progress: InProgress
339,38,2024-09-01,Secondary,School 20,Enrolled,0.724,100.0,InProgress,Progress: InProgress
340,38,2024-10-01,Primary,School 19,Enrolled,0.879,100.0,InProgress,Progress: InProgress
341,38,2024-11-01,Vocational,School 15,Enrolled,0.93,100.0,InProgress,Progress: InProgress
342,38,2024-12-01,Secondary,School 18,Enrolled,0.838,91.9,Completed,Progress: Completed
343,38,2025-01-01,Secondary,School 18,Enrolled,0.923,97.3,Completed,Progress: Completed
344,39,2024-10-01,Secondary,School 15,Enrolled,0.596,39.8,NotStarted,Progress: NotStarted
345,39,2024-11-01,Primary,School 11,Enrolled,0.693,34.2,InProgress,Progress: InProgress
346,39,2024-12-01,Secondary,School 20,Enrolled,0.654,39.4,InProgress,Progress: InProgress
347,39,2025-01-01,Secondary,School 14,Enrolled,0.671,64.7,InProgress,Progress: InProgress
348,39,2025-02-01,Secondary,School 6,Enrolled,0.693,66.9,InProgress,Progress: InProgress
349,39,2025-03-01,Primary,School 11,Enrolled,0.719,83.9,InProgress,Progress: InProgress
350,39,2025-04-01,Secondary,School 4,Enrolled,0.719,92.5,InProgress,Progress: InProgress
351,39,2025-05-01,Primary,School 20,Enrolled,0.777,96.6,InProgress,Progress: InProgress
352,39,2025-06-01,Secondary,School 19,Enrolled,0.784,99.1,InProgress,Progress: InProgress
353,39,2025-07-01,Primary,School 8,Enrolled,0.772,100.0,InProgress,Progress: InProgress
354,39,2025-08-01,CollegePrep,School 17,Enrolled,0.71,100.0,Completed,Progress: Completed
355,40,2025-03-01,Vocational,School 7,Enrolled,0.551,46.4,NotStarted,Progress: NotStarted
356,40,2025-04-01,Secondary,School 15,Enrolled,0.635,63.8,InProgress,Progress: InProgress
357,40,2025-05-01,Vocational,School 11,Enrolled,0.584,71.6,InProgress,Progress: InProgress
358,40,2025-06-01,Vocational,School 2,Enrolled,0.834,85.0,InProgress,Progress: InProgress
359,40,2025-07-01,Secondary,School 3,Enrolled,0.765,90.4,InProgress,Progress: InProgress
360,40,2025-08-01,Primary,School 20,Enrolled,0.778,89.8,InProgress,Progress: InProgress
361,40,2025-09-01,Vocational,School 7,Enrolled,0.764,95.3,InProgress,Progress: InProgress
362,40,2025-10-01,Secondary,School 6,Enrolled,0.928,100.0,InProgress,Progress: InProgress
363,40,2025-11-01,Secondary,School 14,Enrolled,0.8,84.2,InProgress,Progress: InProgress
364,40,2025-12-01,Primary,School 17,Enrolled,0.832,94.2,InProgress,Progress: InProgress
365,40,2026-01-01,Primary,School 18,Enrolled,0.886,100.0,Completed,Progress: Completed
366,40,2026-02-01,Vocational,School 2,Enrolled,0.729,100.0,InProgress,Progress: InProgress
367,41,2024-04-01,Secondary,School 7,Enrolled,0.839,33.3,NotStarted,Progress: NotStarted
368,41,2024-05-01,CollegePrep,School 18,Enrolled,0.662,45.8,InProgress,Progress: InProgress
369,41,2024-06-01,Vocational,School 12,Enrolled,0.784,68.0,InProgress,Progress: InProgress
370,41,2024-07-01,Primary,School 14,Enrolled,0.868,97.8,InProgress,Progress: InProgress
371,41,2024-08-01,Vocational,School 15,Enrolled,0.859,100.0,InProgress,Progress: InProgress
372,41,2024-09-01,Secondary,School 5,Enrolled,0.894,100.0,InProgress,Progress: InProgress
373,41,2024-10-01,Secondary,School 14,Enrolled,0.885,100.0,Completed,Progress: Completed
374,41,2024-11-01,CollegePrep,School 18,Enrolled,1.0,100.0,InProgress,Progress: InProgress
375,42,2024-12-01,Primary,School 13,Enrolled,0.657,46.8,NotStarted,Progress: NotStarted
376,42,2025-01-01,Primary,School 13,Enrolled,0.48,60.9,InProgress,Progress: InProgress
377,42,2025-02-01,Secondary,School 4,Enrolled,0.861,81.2,InProgress,Progress: InProgress
378,42,2025-03-01,Primary,School 4,Enrolled,0.813,90.6,InProgress,Progress: InProgress
379,42,2025-04-01,Secondary,School 12,Enrolled,0.853,100.0,InProgress,Progress: InProgress
380,42,2025-05-01,Secondary,School 3,Enrolled,0.906,100.0,Completed,Progress: Completed
381,42,2025-06-01,CollegePrep,School 14,Enrolled,0.766,100.0,Completed,Progress: Completed
382,43,2024-07-01,Secondary,School 9,Enrolled,0.68,37.7,NotStarted,Progress: NotStarted
383,43,2024-08-01,Primary,School 3,Enrolled,0.589,51.4,InProgress,Progress: InProgress
384,43,2024-09-01,Secondary,School 2,Enrolled,0.756,76.6,InProgress,Progress: InProgress
385,43,2024-10-01,Secondary,School 2,Enrolled,0.625,83.4,InProgress,Progress: InProgress
386,43,2024-11-01,Secondary,School 19,Enrolled,0.759,100.0,InProgress,Progress: InProgress
387,43,2024-12-01,CollegePrep,School 15,Enrolled,0.675,100.0,InProgress,Progress: InProgress
388,43,2025-01-01,Secondary,School 19,Enrolled,0.928,100.0,Completed,Progress: Completed
389,44,2023-09-01,Primary,School 14,Enrolled,0.577,50.4,NotStarted,Progress: NotStarted
390,44,2023-10-01,Secondary,School 10,Enrolled,0.867,50.7,InProgress,Progress: InProgress
391,44,2023-11-01,CollegePrep,School 3,Enrolled,0.674,38.7,InProgress,Progress: InProgress
392,44,2023-12-01,Primary,School 18,Enrolled,0.67,40.0,InProgress,Progress: InProgress
393,44,2024-01-01,Secondary,School 11,Enrolled,0.761,41.2,InProgress,Progress: InProgress
394,44,2024-02-01,Primary,School 11,Enrolled,0.8,50.5,InProgress,Progress: InProgress
395,44,2024-03-01,Primary,School 13,Enrolled,0.701,51.5,InProgress,Progress: InProgress
396,44,2024-04-01,Secondary,School 19,Enrolled,0.536,56.9,InProgress,Progress: InProgress
397,44,2024-05-01,Primary,School 6,Enrolled,0.759,56.5,InProgress,Progress: InProgress
398,45,2023-02-01,Vocational,School 14,Enrolled,0.671,64.7,NotStarted,Progress: NotStarted
399,45,2023-03-01,Vocational,School 12,Enrolled,0.781,79.4,InProgress,Progress: InProgress
400,45,2023-04-01,Secondary,School 7,Enrolled,0.831,100.0,InProgress,Progress: InProgress
401,45,2023-05-01,CollegePrep,School 17,Enrolled,0.899,100.0,InProgress,Progress: InProgress
402,45,2023-06-01,Secondary,School 2,Enrolled,0.89,100.0,InProgress,Progress: InProgress
403,45,2023-07-01,Primary,School 7,Enrolled,0.778,100.0,InProgress,Progress: InProgress
404,45,2023-08-01,Secondary,School 7,Enrolled,0.777,100.0,InProgress,Progress: InProgress
405,45,2023-09-01,CollegePrep,School 3,Enrolled,0.756,100.0,InProgress,Progress: InProgress
406,45,2023-10-01,Vocational,School 9,Enrolled,0.799,100.0,Completed,Progress: Completed
407,46,2024-01-01,Secondary,School 2,Enrolled,0.586,45.2,NotStarted,Progress: NotStarted
408,46,2024-02-01,Primary,School 16,Enrolled,0.679,59.2,InProgress,Progress: InProgress
409,46,2024-03-01,Vocational,School 18,Enrolled,0.925,79.6,InProgress,Progress: InProgress
410,46,2024-04-01,Vocational,School 6,Enrolled,0.716,82.1,InProgress,Progress: InProgress
411,46,2024-05-01,Primary,School 14,Enrolled,0.625,66.3,InProgress,Progress: InProgress
412,46,2024-06-01,Secondary,School 9,Enrolled,0.931,83.5,InProgress,Progress: InProgress
413,46,2024-07-01,Vocational,School 11,Enrolled,0.759,95.2,Completed,Progress: Completed
414,46,2024-08-01,Secondary,School 12,Enrolled,0.825,96.3,InProgress,Progress: InProgress
415,47,2023-07-01,Primary,School 6,Enrolled,0.667,47.6,NotStarted,Progress: NotStarted
416,47,2023-08-01,Secondary,School 13,Enrolled,0.593,73.9,InProgress,Progress: InProgress
417,47,2023-09-01,Secondary,School 2,Enrolled,0.715,81.6,InProgress,Progress: InProgress
418,47,2023-10-01,Primary,School 17,Enrolled,0.609,80.9,InProgress,Progress: InProgress
419,47,2023-11-01,CollegePrep,School 19,Enrolled,0.828,98.7,InProgress,Progress: InProgress
420,47,2023-12-01,Secondary,School 9,Enrolled,1.0,99.0,InProgress,Progress: InProgress
421,47,2024-01-01,Vocational,School 8,Enrolled,0.778,100.0,InProgress,Progress: InProgress
422,47,2024-02-01,Secondary,School 3,Enrolled,0.753,100.0,Completed,Progress: Completed
423,47,2024-03-01,Vocational,School 13,Enrolled,0.691,100.0,Completed,Progress: Completed
424,48,2024-08-01,Secondary,School 8,Enrolled,0.632,39.6,NotStarted,Progress: NotStarted
425,48,2024-09-01,Secondary,School 9,Enrolled,0.742,54.4,InProgress,Progress: InProgress
426,48,2024-10-01,Primary,School 7,Enrolled,0.599,59.9,InProgress,Progress: InProgress
427,48,2024-11-01,Vocational,School 4,Enrolled,0.78,72.1,InProgress,Progress: InProgress
428,48,2024-12-01,Primary,School 10,Enrolled,0.905,74.9,InProgress,Progress: InProgress
429,48,2025-01-01,Primary,School 16,Enrolled,0.812,95.9,Completed,Progress: Completed
430,48,2025-02-01,Secondary,School 5,Enrolled,0.847,96.5,Completed,Progress: Completed
431,49,2024-05-01,CollegePrep,School 16,Enrolled,0.697,45.3,NotStarted,Progress: NotStarted
432,49,2024-06-01,CollegePrep,School 10,Enrolled,0.581,45.1,InProgress,Progress: InProgress
433,49,2024-07-01,Secondary,School 4,Enrolled,0.689,60.3,InProgress,Progress: InProgress
434,49,2024-08-01,Secondary,School 7,Enrolled,0.867,97.4,InProgress,Progress: InProgress
435,49,2024-09-01,Secondary,School 17,Enrolled,0.821,100.0,InProgress,Progress: InProgress
436,49,2024-10-01,Secondary,School 18,Enrolled,0.852,100.0,InProgress,Progress: InProgress
437,49,2024-11-01,Secondary,School 1,Enrolled,0.725,100.0,InProgress,Progress: InProgress
438,50,2023-01-01,CollegePrep,School 2,Enrolled,0.468,33.9,NotStarted,Progress: NotStarted
439,50,2023-02-01,Secondary,School 8,Enrolled,0.684,45.9,InProgress,Progress: InProgress
440,50,2023-03-01,Primary,School 2,Enrolled,0.718,53.8,InProgress,Progress: InProgress
441,50,2023-04-01,Secondary,School 20,Enrolled,0.629,74.8,InProgress,Progress: InProgress
442,50,2023-05-01,Primary,School 3,Enrolled,0.673,77.4,InProgress,Progress: InProgress
443,50,2023-06-01,Secondary,School 12,Enrolled,0.8,93.0,InProgress,Progress: InProgress
444,50,2023-07-01,Vocational,School 19,Enrolled,0.644,100.0,InProgress,Progress: InProgress
445,50,2023-08-01,Secondary,School 14,Enrolled,0.764,100.0,InProgress,Progress: InProgress
446,50,2023-09-01,Secondary,School 19,Enrolled,0.718,100.0,InProgress,Progress: InProgress
447,50,2023-10-01,Secondary,School 12,Enrolled,0.951,100.0,InProgress,Progress: InProgress
448,50,2023-11-01,Vocational,School 17,Enrolled,0.864,100.0,Completed,Progress: Completed
449,50,2023-12-01,Primary,School 12,Enrolled,0.791,90.9,Completed,Progress: Completed
450,51,2024-04-01,Secondary,School 1,Enrolled,0.58,48.7,NotStarted,Progress: NotStarted
451,51,2024-05-01,Secondary,School 14,Enrolled,0.634,61.6,InProgress,Progress: InProgress
452,51,2024-06-01,Primary,School 16,Enrolled,0.713,71.8,InProgress,Progress: InProgress
453,51,2024-07-01,Primary,School 20,Enrolled,0.804,100.0,InProgress,Progress: InProgress
454,51,2024-08-01,CollegePrep,School 19,Enrolled,1.0,100.0,Completed,Progress: Completed
455,51,2024-09-01,Secondary,School 1,Enrolled,0.869,100.0,Completed,Progress: Completed
456,52,2024-02-01,Vocational,School 3,Enrolled,0.505,33.2,NotStarted,Progress: NotStarted
457,52,2024-03-01,Primary,School 1,Enrolled,0.633,26.9,InProgress,Progress: InProgress
458,52,2024-04-01,CollegePrep,School 9,Enrolled,0.488,20.9,InProgress,Progress: InProgress
459,52,2024-05-01,Secondary,School 4,Enrolled,0.67,27.3,InProgress,Progress: InProgress
460,52,2024-06-01,Primary,School 17,Enrolled,0.612,35.3,InProgress,Progress: InProgress
461,52,2024-07-01,CollegePrep,School 5,Enrolled,0.711,42.9,InProgress,Progress: InProgress
462,52,2024-08-01,Secondary,School 7,Enrolled,0.531,36.4,InProgress,Progress: InProgress
463,53,2023-10-01,Secondary,School 5,Enrolled,0.92,54.8,NotStarted,Progress: NotStarted
464,53,2023-11-01,CollegePrep,School 12,Enrolled,0.732,83.4,InProgress,Progress: InProgress
465,53,2023-12-01,Secondary,School 5,Enrolled,0.927,100.0,InProgress,Progress: InProgress
466,53,2024-01-01,Secondary,School 4,Enrolled,0.807,100.0,InProgress,Progress: InProgress
467,53,2024-02-01,Secondary,School 7,Enrolled,0.968,100.0,InProgress,Progress: InProgress
468,53,2024-03-01,Secondary,School 6,Enrolled,0.762,100.0,InProgress,Progress: InProgress
469,53,2024-04-01,Primary,School 4,Enrolled,0.872,100.0,InProgress,Progress: InProgress
470,53,2024-05-01,Secondary,School 18,Enrolled,0.903,100.0,InProgress,Progress: InProgress
471,53,2024-06-01,Secondary,School 15,Enrolled,0.964,100.0,InProgress,Progress: InProgress
472,53,2024-07-01,Vocational,School 12,Enrolled,0.825,100.0,InProgress,Progress: InProgress
473,53,2024-08-01,CollegePrep,School 5,Enrolled,0.645,100.0,InProgress,Progress: InProgress
474,53,2024-09-01,Vocational,School 18,Enrolled,0.913,100.0,InProgress,Progress: InProgress
475,54,2023-04-01,Secondary,School 1,Enrolled,0.558,51.3,NotStarted,Progress: NotStarted
476,54,2023-05-01,Secondary,School 13,Enrolled,0.871,56.4,InProgress,Progress: InProgress
477,54,2023-06-01,Primary,School 20,Enrolled,0.636,55.1,InProgress,Progress: InProgress
478,54,2023-07-01,Secondary,School 11,Enrolled,0.77,67.0,InProgress,Progress: InProgress
479,54,2023-08-01,Primary,School 15,Enrolled,0.737,80.1,InProgress,Progress: InProgress
480,54,2023-09-01,Primary,School 3,Enrolled,0.62,81.7,InProgress,Progress: InProgress
481,54,2023-10-01,Primary,School 12,Enrolled,0.804,79.7,InProgress,Progress: InProgress
482,54,2023-11-01,CollegePrep,School 19,Enrolled,0.768,85.0,InProgress,Progress: InProgress
483,54,2023-12-01,Secondary,School 9,Enrolled,0.562,82.4,InProgress,Progress: InProgress
484,54,2024-01-01,Primary,School 8,Enrolled,0.816,91.4,InProgress,Progress: InProgress
485,54,2024-02-01,Secondary,School 7,Enrolled,0.654,80.3,InProgress,Progress: InProgress
486,54,2024-03-01,Vocational,School 13,Enrolled,0.729,78.1,InProgress,Progress: InProgress
487,55,2025-04-01,Vocational,School 7,Enrolled,0.585,39.0,NotStarted,Progress: NotStarted
488,55,2025-05-01,Vocational,School 9,Enrolled,0.665,61.6,InProgress,Progress: InProgress
489,55,2025-06-01,Primary,School 9,Enrolled,0.677,65.7,InProgress,Progress: InProgress
490,55,2025-07-01,Primary,School 10,Enrolled,0.65,59.7,InProgress,Progress: InProgress
491,55,2025-08-01,Primary,School 9,Enrolled,0.72,68.1,InProgress,Progress: InProgress
492,55,2025-09-01,CollegePrep,School 9,Enrolled,0.745,74.5,InProgress,Progress: InProgress
493,55,2025-10-01,Vocational,School 13,Enrolled,0.761,98.3,Completed,Progress: Completed
494,56,2024-10-01,Secondary,School 17,Enrolled,0.632,54.6,NotStarted,Progress: NotStarted
495,56,2024-11-01,Primary,School 13,Enrolled,0.657,61.2,InProgress,Progress: InProgress
496,56,2024-12-01,Secondary,School 6,Enrolled,0.765,83.2,InProgress,Progress: InProgress
497,56,2025-01-01,CollegePrep,School 1,Enrolled,0.855,82.8,InProgress,Progress: InProgress
498,56,2025-02-01,Primary,School 11,Enrolled,1.0,100.0,InProgress,Progress: InProgress
499,56,2025-03-01,Vocational,School 1,Enrolled,0.674,100.0,InProgress,Progress: InProgress
500,56,2025-04-01,Secondary,School 2,Enrolled,0.779,100.0,InProgress,Progress: InProgress
501,56,2025-05-01,Vocational,School 4,Enrolled,0.634,100.0,InProgress,Progress: InProgress
502,56,2025-06-01,Secondary,School 10,Enrolled,0.857,100.0,InProgress,Progress: InProgress
503,56,2025-07-01,Vocational,School 18,Enrolled,0.743,100.0,InProgress,Progress: InProgress
504,57,2023-04-01,CollegePrep,School 14,Enrolled,0.615,41.9,NotStarted,Progress: NotStarted
505,57,2023-05-01,Secondary,School 8,Enrolled,0.835,74.1,InProgress,Progress: InProgress
506,57,2023-06-01,Primary,School 11,Enrolled,0.814,95.6,InProgress,Progress: InProgress
507,57,2023-07-01,Vocational,School 10,Enrolled,0.912,100.0,InProgress,Progress: InProgress
508,57,2023-08-01,Secondary,School 7,Enrolled,0.708,100.0,InProgress,Progress: InProgress
509,57,2023-09-01,Secondary,School 18,Enrolled,0.753,100.0,Completed,Progress: Completed
510,57,2023-10-01,Vocational,School 11,Enrolled,0.94,100.0,InProgress,Progress: InProgress
511,58,2025-03-01,Vocational,School 10,Enrolled,0.783,52.9,NotStarted,Progress: NotStarted
512,58,2025-04-01,Primary,School 2,Enrolled,0.561,65.3,InProgress,Progress: InProgress
513,58,2025-05-01,Primary,School 8,Enrolled,0.829,86.0,InProgress,Progress: InProgress
514,58,2025-06-01,CollegePrep,School 2,Enrolled,0.775,79.6,InProgress,Progress: InProgress
515,58,2025-07-01,Secondary,School 20,Enrolled,0.636,81.9,InProgress,Progress: InProgress
516,58,2025-08-01,Secondary,School 10,Enrolled,0.703,86.5,InProgress,Progress: InProgress
517,58,2025-09-01,Secondary,School 19,Enrolled,0.668,96.7,InProgress,Progress: InProgress
518,58,2025-10-01,Secondary,School 1,Enrolled,0.677,100.0,Completed,Progress: Completed
519,58,2025-11-01,Secondary,School 15,Enrolled,0.717,100.0,Completed,Progress: Completed
520,59,2023-06-01,Primary,School 3,Enrolled,0.646,54.1,NotStarted,Progress: NotStarted
521,59,2023-07-01,Vocational,School 16,Enrolled,0.572,64.6,InProgress,Progress: InProgress
522,59,2023-08-01,CollegePrep,School 17,Enrolled,0.797,76.7,InProgress,Progress: InProgress
523,59,2023-09-01,CollegePrep,School 11,Enrolled,0.876,100.0,InProgress,Progress: InProgress
524,59,2023-10-01,Primary,School 17,Enrolled,0.853,100.0,InProgress,Progress: InProgress
525,59,2023-11-01,Primary,School 4,Enrolled,0.777,100.0,InProgress,Progress: InProgress
526,59,2023-12-01,Primary,School 9,Enrolled,0.753,100.0,InProgress,Progress: InProgress
527,59,2024-01-01,Secondary,School 1,Enrolled,0.77,100.0,InProgress,Progress: InProgress
528,59,2024-02-01,CollegePrep,School 19,Enrolled,0.677,100.0,InProgress,Progress: InProgress
529,60,2024-01-01,CollegePrep,School 14,Enrolled,0.643,36.9,NotStarted,Progress: NotStarted
530,60,2024-02-01,Primary,School 20,Enrolled,0.497,57.9,InProgress,Progress: InProgress
531,60,2024-03-01,Vocational,School 18,Enrolled,1.0,67.3,InProgress,Progress: InProgress
532,60,2024-04-01,Primary,School 8,Enrolled,0.582,80.2,InProgress,Progress: InProgress
533,60,2024-05-01,Primary,School 4,Enrolled,0.71,96.6,InProgress,Progress: InProgress
534,60,2024-06-01,Secondary,School 8,Enrolled,0.71,100.0,Completed,Progress: Completed
